apstar_id,file
apogee.apo25m.stars.009+52_MGA.2M15105193+0803123,apogee_apo25m_stars_009+52_MGA_2M15105193+0803123.fits
apogee.apo25m.stars.010+51_MGA.2M15105193+0803123,apogee_apo25m_stars_010+51_MGA_2M15105193+0803123.fits
apogee.apo25m.stars.009+52_MGA.2M15124900+0723586,apogee_apo25m_stars_009+52_MGA_2M15124900+0723586.fits
apogee.apo25m.stars.010+51_MGA.2M15124900+0723586,apogee_apo25m_stars_010+51_MGA_2M15124900+0723586.fits
apogee.apo25m.stars.010+51_MGA.2M15140317+0700416,apogee_apo25m_stars_010+51_MGA_2M15140317+0700416.fits
apogee.apo25m.stars.010+51_MGA.2M15153082+0830238,apogee_apo25m_stars_010+51_MGA_2M15153082+0830238.fits
apogee.apo25m.stars.010+51_MGA.2M15164969+0816035,apogee_apo25m_stars_010+51_MGA_2M15164969+0816035.fits
apogee.apo25m.stars.010+51_MGA.2M15182700+0845234,apogee_apo25m_stars_010+51_MGA_2M15182700+0845234.fits
apogee.apo25m.stars.010+51_MGA.2M15200187+0712097,apogee_apo25m_stars_010+51_MGA_2M15200187+0712097.fits
apogee.apo25m.stars.010+60.2M14384659+1304026,apogee_apo25m_stars_010+60_2M14384659+1304026.fits
apogee.apo25m.stars.010+60.2M14401766+1251327,apogee_apo25m_stars_010+60_2M14401766+1251327.fits
apogee.apo25m.stars.053+32_MGA.2M17234236+3007069,apogee_apo25m_stars_053+32_MGA_2M17234236+3007069.fits
apogee.apo25m.stars.053+33_MGA.2M17111803+3028042,apogee_apo25m_stars_053+33_MGA_2M17111803+3028042.fits
apogee.apo25m.stars.055+33_MGA.2M17130177+3043158,apogee_apo25m_stars_055+33_MGA_2M17130177+3043158.fits
apogee.apo25m.stars.101+89_MGA.2M12502292+2744285,apogee_apo25m_stars_101+89_MGA_2M12502292+2744285.fits
apogee.apo25m.stars.049+90_MGA.2M12502847+2613140,apogee_apo25m_stars_049+90_MGA_2M12502847+2613140.fits
apogee.apo25m.stars.319+88_MGA.2M12503566+2636160,apogee_apo25m_stars_319+88_MGA_2M12503566+2636160.fits
apogee.apo25m.stars.010+60.2M14413156+1321098,apogee_apo25m_stars_010+60_2M14413156+1321098.fits
apogee.apo25m.stars.010+60.2M14432902+1318045,apogee_apo25m_stars_010+60_2M14432902+1318045.fits
apogee.apo25m.stars.010+60.2M14453099+1142124,apogee_apo25m_stars_010+60_2M14453099+1142124.fits
apogee.apo25m.stars.010+60.2M14454556+1156233,apogee_apo25m_stars_010+60_2M14454556+1156233.fits
apogee.apo25m.stars.010+60.2M14462852+1257375,apogee_apo25m_stars_010+60_2M14462852+1257375.fits
apogee.apo25m.stars.010+60.2M14462903+1258587,apogee_apo25m_stars_010+60_2M14462903+1258587.fits
apogee.apo25m.stars.010+60.2M14462917+1150501,apogee_apo25m_stars_010+60_2M14462917+1150501.fits
apogee.apo25m.stars.010+60.2M14463425+1344593,apogee_apo25m_stars_010+60_2M14463425+1344593.fits
apogee.apo25m.stars.010+60.2M14472066+1339160,apogee_apo25m_stars_010+60_2M14472066+1339160.fits
apogee.apo25m.stars.053+33_MGA.2M17140629+3059273,apogee_apo25m_stars_053+33_MGA_2M17140629+3059273.fits
apogee.apo25m.stars.053+33_MGA.2M17172356+2933108,apogee_apo25m_stars_053+33_MGA_2M17172356+2933108.fits
apogee.apo25m.stars.053+33_MGA.2M17193277+2933382,apogee_apo25m_stars_053+33_MGA_2M17193277+2933382.fits
apogee.apo25m.stars.053+35_MGA.2M17022131+2959265,apogee_apo25m_stars_053+35_MGA_2M17022131+2959265.fits
apogee.apo25m.stars.053+35_MGA.2M17023531+2959050,apogee_apo25m_stars_053+35_MGA_2M17023531+2959050.fits
apogee.apo25m.stars.053+35_MGA.2M17024325+2949109,apogee_apo25m_stars_053+35_MGA_2M17024325+2949109.fits
apogee.apo25m.stars.014+89_MGA.2M12510256+2710357,apogee_apo25m_stars_014+89_MGA_2M12510256+2710357.fits
apogee.apo25m.stars.319+88_MGA.2M12515048+2538224,apogee_apo25m_stars_319+88_MGA_2M12515048+2538224.fits
apogee.apo25m.stars.062+88_MGA.2M12515647+2806516,apogee_apo25m_stars_062+88_MGA_2M12515647+2806516.fits
apogee.apo25m.stars.010+60.2M14473740+1135155,apogee_apo25m_stars_010+60_2M14473740+1135155.fits
apogee.apo25m.stars.010+60.2M14485951+1250470,apogee_apo25m_stars_010+60_2M14485951+1250470.fits
apogee.apo25m.stars.011+47_btx.2M15223715+0658135,apogee_apo25m_stars_011+47_btx_2M15223715+0658135.fits
apogee.apo25m.stars.011+47_btx.2M15231729+0654122,apogee_apo25m_stars_011+47_btx_2M15231729+0654122.fits
apogee.apo25m.stars.011+47_btx.2M15263126+0654510,apogee_apo25m_stars_011+47_btx_2M15263126+0654510.fits
apogee.apo25m.stars.011+47_btx.2M15291781+0753397,apogee_apo25m_stars_011+47_btx_2M15291781+0753397.fits
apogee.apo25m.stars.011+55_MGA.2M14595931+0928197,apogee_apo25m_stars_011+55_MGA_2M14595931+0928197.fits
apogee.apo25m.stars.011+55_MGA.2M15002011+1039071,apogee_apo25m_stars_011+55_MGA_2M15002011+1039071.fits
apogee.apo25m.stars.011+55_MGA.2M15003226+0938146,apogee_apo25m_stars_011+55_MGA_2M15003226+0938146.fits
